Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2026-01-28,WEB.V,80.0,1.95,156.0,0.0,MANUAL BUY LIMIT - Filled,,
2026-02-09,WEB.V,,,156.0,-4.80000114440918,MANUAL SELL LIMIT - ,80.0,1.8899999856948853
2026-02-17,XIU.TO,6.0,48.29999923706055,289.7999954223633,0.0,MANUAL BUY LIMIT - Filled,,
